Distrito Geografico,Nombre Escuela,Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Cantidad Gastada a la Fecha
2,P.S. 116 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,In-Progress,7724,3744.0,-51.53,122.0,3744.0
2,P.S. 124 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1080100,249881.0,-77.08,699.0,247568.0
2,P.S. 126 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,2027404,565468.0,-73.02,1094.0,547075.0
2,P.S. 126 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,327417,294319.0,-99.56,299.0,1441.0
2,P.S. 126 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,64949,37932.0,-88.53,299.0,7448.0
2,P.S. 130 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,In-Progress,15208,15208.0,-39.88,181.0,9143.0
2,P.S. 130 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Construction,In-Progress,528000,489278.0,-97.93,269.0,10914.0
2,P.S. 130 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,"CM,F&E",In-Progress,36000,56007.0,-47.61,269.0,18860.0
2,P.S. 158 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,2827207,2755476.0,-25.77,729.0,2098615.0
2,M169 SPED - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Construction,In-Progress,6214007,5718517.0,-75.22,547.0,1539771.0
2,M169 SPED - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,481042,321734.0,-35.24,547.0,311527.0
2,P.S. 183 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Programas educativos,Construction,In-Progress,528000,365454.0,-33.32,269.0,352053.0
2,P.S. 183 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Construction,In-Progress,440000,199047.0,-99.06,329.0,4124.0
2,P.S. 290 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,"CM,F&E",In-Progress,643687,86230.0,-94.89,729.0,32893.0
2,P.S. 234 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Construction,In-Progress,3234403,3144565.0,-29.61,629.0,2276635.0
2,P.S. 234 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,In-Progress,17792,17792.0,-79.51,181.0,3646.0
2,P.S. 234 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,In-Progress,142975,142975.0,-97.88,190.0,3024.0
2,P.S. 267 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,193762,178974.0,-14.36,329.0,165938.0
2,P.S. 267 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,166229,159600.0,-30.55,329.0,115450.0
2,M.S. 297,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,In-Progress,6000,5013.0,-16.45,138.0,5013.0
2,HUDSON HS OF LEARNING TECH - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,198231,190677.0,-16.07,299.0,166368.0
2,LOWER MANHATTAN ARTS - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Construction,In-Progress,1839200,1744481.0,-18.35,364.0,1501622.0
2,LOWER MANHATTAN ARTS - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,"CM,F&E",In-Progress,125400,65402.0,-52.09,364.0,60084.0
2,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,1387695,288485.0,-79.36,729.0,286443.0
2,HS FOR HEALTH PROF & HUMAN SERV-M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,306482,214151.0,-30.13,486.0,214151.0
