Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Gasto a la Fecha Estimado,Probabilidad,Impacto,Cantidad Real Gastada
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,355950,354107.0,-10.9,154.0,318360.91,3.0912156862745097,3.6222222222222222,317163.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,151512,92010.0,-39.27,136.0,79439.05,2.968333333333333,3.3241666666666667,92010.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,754168,431668.0,-51.65,155.0,359891.67,3.213,3.796666666666667,364624.0
Proyecto de Mejoramiento General (CIP),Transformaciones internas,Scope,20950,7327.0,-65.03,65.0,6838.63,2.9125490196078427,3.326111111111111,7327.0
Proyecto de Mejoramiento General (CIP),Transformaciones internas,Design,104750,164762.0,26.87,122.0,97932.03,3.018,3.618333333333333,132899.0
Proyecto de Mejoramiento General (CIP),Transformaciones internas,Scope,83930,143676.0,71.19,172.0,91103.47,2.968333333333333,3.3241666666666667,143676.0
Adecuaciones para Educación Inicial 3K,Otro,Scope,216951,326093.0,-7.11,50.0,535152.86,3.0581045751633984,3.4261111111111107,201529.0
Adecuaciones para Educación Inicial 3K,Otro,Scope,268658,265086.0,-8.04,28.0,222617.75,3.1083333333333334,3.4391666666666665,247062.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,160567,133507.0,-16.85,141.0,122758.29,2.968333333333333,3.3241666666666667,133507.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,793146,547862.0,-34.7,150.0,476008.37,3.213,3.796666666666667,517894.0
Proyecto de Mejoramiento General (CIP),Transformaciones internas,Design,53059,1269.0,-97.61,263.0,1643.42,3.018,3.618333333333333,1269.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,176283,197110.0,11.81,144.0,146931.36,2.9647712418300647,3.3494444444444444,197110.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,258990,138919.0,-46.36,126.0,131821.49,3.1083333333333334,3.4391666666666665,138919.0
Proyecto de Mejoramiento General (CIP),Otro,Scope,8140,11138.0,36.83,124.0,9587.75,2.8899999999999997,3.2891666666666666,11138.0
Proyecto de Mejoramiento General (CIP),Otro,Design,36630,40339.0,-0.1,159.0,28070.43,3.018,3.618333333333333,36594.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,266212,259278.0,-3.11,138.0,217750.57,3.0581045751633984,3.4261111111111107,257923.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,18900,11134.0,-41.09,177.0,10466.92,2.9396666666666667,3.583333333333333,11134.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,75078,92585.0,23.32,91.0,63361.96,2.9647712418300647,3.3494444444444444,92585.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,375390,367778.0,-20.61,187.0,299074.81,3.0912156862745097,3.6222222222222222,298012.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,180499,136798.0,-38.32,154.0,106258.83,3.018,3.618333333333333,111323.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,6200,11767.0,89.79,126.0,9929.09,2.8899999999999997,3.2891666666666666,11767.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,27900,47071.0,68.71,181.0,26043.26,3.018,3.618333333333333,47071.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,140676,220325.0,56.62,126.0,129597.54,2.968333333333333,3.3241666666666667,220325.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,43701,48744.0,11.54,123.0,33864.74,2.9647712418300647,3.3494444444444444,48744.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,218503,200082.0,-19.03,108.0,178133.37,3.1579999999999995,3.7333333333333334,176926.0
Proyecto de Mejoramiento General (CIP),Otro,Design,126250,327056.0,35.42,153.0,201611.91,3.018,3.618333333333333,170965.0
Proyecto de Mejoramiento General (CIP),Transformaciones internas,Scope,34972,60798.0,73.85,155.0,27501.73,2.9647712418300647,3.3494444444444444,60798.0
Proyecto de Mejoramiento General (CIP),Transformaciones internas,Design,174858,193384.0,-3.05,152.0,143924.59,2.997882352941176,3.5455555555555556,169529.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,45876,58647.0,-21.13,139.0,34423.14,2.9647712418300647,3.3494444444444444,36183.0
Proyecto de Mejoramiento General (CIP),Otro,Scope,61083,77115.0,24.87,137.0,48510.84,2.9647712418300647,3.3494444444444444,76275.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,14970,1437.0,-90.4,181.0,1754.96,2.9396666666666667,3.583333333333333,1437.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,21510,26777.0,24.49,181.0,15003.14,2.9396666666666667,3.583333333333333,26777.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,73499,83034.0,12.97,154.0,59423.69,2.968333333333333,3.3241666666666667,83034.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,354838,361717.0,-3.39,159.0,315638.53,3.1579999999999995,3.7333333333333334,342794.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,192000,171540.0,-15.49,182.0,155709.38,2.968333333333333,3.3241666666666667,162266.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,100920,89740.0,-11.08,159.0,81493.05,2.968333333333333,3.3241666666666667,89740.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,403680,412526.0,-1.87,154.0,356661.81,3.1579999999999995,3.7333333333333334,396123.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,142980,138134.0,-3.82,182.0,121344.58,2.968333333333333,3.3241666666666667,137523.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,714900,264171.0,-63.68,237.0,203677.35,3.213,3.796666666666667,259655.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,14136,28081.0,98.65,182.0,13213.65,2.8899999999999997,3.2891666666666666,28081.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,63611,129418.0,88.26,175.0,89486.2,3.018,3.618333333333333,119755.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,136647,236064.0,48.43,139.0,130918.62,2.968333333333333,3.3241666666666667,202825.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,672871,560119.0,-16.76,153.0,495045.28,3.213,3.796666666666667,560119.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,21600,10624.0,-50.81,182.0,10124.92,2.9396666666666667,3.583333333333333,10624.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,142110,146477.0,-15.23,144.0,121368.96,2.968333333333333,3.3241666666666667,120467.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,710551,397823.0,-44.01,153.0,368704.09,3.213,3.796666666666667,397823.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,22410,7474.0,-66.65,176.0,6644.56,2.9396666666666667,3.583333333333333,7474.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,51674,66374.0,25.62,141.0,42497.58,2.997882352941176,3.5455555555555556,64914.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,387378,225299.0,-41.84,260.0,200918.48,3.1083333333333334,3.4391666666666665,225299.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,157660,186014.0,17.98,91.0,135923.05,2.9647712418300647,3.3494444444444444,186014.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,788300,698937.0,-43.17,187.0,460523.02,3.1278823529411763,3.664444444444445,448002.0
Proyecto de Mejoramiento General (CIP),Proyectos ambientales,Scope,29051,60363.0,107.22,137.0,26013.36,2.9647712418300647,3.3494444444444444,60199.0
Proyecto de Mejoramiento General (CIP),Proyectos ambientales,Design,145255,112205.0,-58.85,159.0,57742.25,3.018,3.618333333333333,59766.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,70724,90211.0,25.78,138.0,60163.48,2.968333333333333,3.3241666666666667,88954.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,353618,236120.0,-65.75,156.0,155790.08,3.1579999999999995,3.7333333333333334,121115.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,68681,65581.0,-4.51,138.0,57349.44,2.968333333333333,3.3241666666666667,65581.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,335836,270171.0,-25.75,157.0,244078.19,3.1579999999999995,3.7333333333333334,249355.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,119790,54816.0,-54.24,180.0,57478.39,3.018,3.618333333333333,54816.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,10874,15970.0,46.86,121.0,9772.77,2.8899999999999997,3.2891666666666666,15970.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,48933,51695.0,-17.0,154.0,39022.97,3.018,3.618333333333333,40612.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,49435,50347.0,1.84,140.0,41069.24,2.968333333333333,3.3241666666666667,50347.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,111046,121472.0,9.39,139.0,95654.4,2.968333333333333,3.3241666666666667,121472.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,555232,381748.0,-96.98,153.0,27013.88,3.213,3.796666666666667,16757.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,104451,129366.0,23.85,182.0,95330.34,2.968333333333333,3.3241666666666667,129360.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,522249,311801.0,-40.3,229.0,269507.35,3.213,3.796666666666667,311801.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,203462,182193.0,-15.81,182.0,170020.61,3.1083333333333334,3.4391666666666665,171298.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,52996,137044.0,158.59,274.0,89886.21,3.018,3.618333333333333,137044.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,82500,87854.0,1.75,141.0,63441.04,2.997882352941176,3.5455555555555556,83946.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,9483,1171.0,-87.65,128.0,1227.73,2.945660130718954,3.522222222222222,1171.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,195014,274856.0,40.94,144.0,175110.56,2.968333333333333,3.3241666666666667,274856.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,68750,159947.0,42.11,184.0,92756.02,3.018,3.618333333333333,97702.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,2100,1819.0,-13.38,63.0,8662.6,2.945660130718954,3.522222222222222,1819.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,26831,13554.0,-49.48,176.0,15757.69,3.018,3.618333333333333,13554.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Scope,124270,127442.0,2.55,143.0,104417.48,2.9647712418300647,3.3494444444444444,127433.0
Proyecto de Mejoramiento General (CIP),Infraestructura escolar,Design,621350,356366.0,-52.85,175.0,281543.55,3.1278823529411763,3.664444444444445,292955.0
Proyecto de Mejoramiento General (CIP),Otro,Scope,12427,12899.0,3.8,125.0,10035.49,2.8899999999999997,3.2891666666666666,12899.0
Proyecto de Mejoramiento General (CIP),Otro,Design,55919,30720.0,-51.72,142.0,27768.11,3.018,3.618333333333333,26998.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,84113,78796.0,-6.32,140.0,62362.35,3.018,3.618333333333333,78796.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,19800,9922.0,-49.89,182.0,10059.42,2.9396666666666667,3.583333333333333,9922.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,49058,58427.0,-1.24,123.0,40977.2,2.9647712418300647,3.3494444444444444,48452.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,189433,210497.0,9.67,183.0,158900.94,2.997882352941176,3.5455555555555556,207760.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,561061,598978.0,-38.24,188.0,357188.45,3.1278823529411763,3.664444444444445,346524.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,41220,49682.0,-3.89,138.0,31098.02,3.018,3.618333333333333,39615.0
Proyecto de Mejoramiento General (CIP),Otro,Scope,31036,36239.0,16.76,123.0,25474.9,2.968333333333333,3.3241666666666667,36239.0
Proyecto de Mejoramiento General (CIP),Otro,Design,155181,114174.0,-30.75,157.0,106385.44,2.997882352941176,3.5455555555555556,107469.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,29299,57257.0,95.42,256.0,26048.84,2.968333333333333,3.3241666666666667,57257.0
