Distrito Geografico,Nombre Escuela,Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Duración Real,Retraso,Cantidad Real Gastada
2,P.S. 77 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Design,Complete,27000,19762.0,-26.81,178.0,112.0,-66.0,19762.0
2,P.S. 234 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,143751,187935.0,-16.1,153.0,170.0,17.0,120611.0
2,P.S. 234 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,30637,756.0,-97.53,91.0,51.0,-40.0,756.0
2,P.S. 267 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,15033,22743.0,51.29,176.0,98.0,-78.0,22743.0
2,P.S./I.S. 217 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,18586,8012.0,-56.89,177.0,38.0,-139.0,8012.0
2,P.S./I.S. 276 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Proyectos ambientales,Scope,Complete,18284,40499.0,116.82,120.0,442.0,322.0,39644.0
2,P.S./I.S. 276 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Proyectos ambientales,Design,Complete,82275,61758.0,-32.12,183.0,303.0,120.0,55851.0
2,I.S. 896 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,Complete,30000,43563.0,38.05,130.0,298.0,168.0,41415.0
2,P.S. 51 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,Complete,15052,29640.0,96.92,174.0,287.0,113.0,29640.0
2,JAMES BALDWIN SCHOOL - MANHATTAN,Proyecto de Mejoramiento General (CIP),Otro,Scope,Complete,176680,154529.0,-12.54,153.0,371.0,218.0,154529.0
2,JAMES BALDWIN SCHOOL - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,98775,132497.0,34.14,139.0,112.0,-27.0,132497.0
2,JAMES BALDWIN SCHOOL - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,492101,415286.0,-29.89,153.0,224.0,71.0,345032.0
2,HUDSON HS OF LEARNING TECH - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,15380,27643.0,79.73,178.0,184.0,6.0,27643.0
2,LOWER MANHATTAN ARTS - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,Complete,125400,121298.0,-26.24,120.0,120.0,0.0,92493.0
