Distrito Geografico,Nombre Escuela,Tipo de Proyecto,Descripción del Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Cantidad Real Gastada,Duración Proyectada,Desviación Presupuestaria
2,P.S. 40 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE / FY22 RESO A LIBRARY UPGRADE,"CM,F&E",In-Progress,147027,182675.0,113611.0,274.0,-22.73
2,P.S. 41 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,19194327,17257355.0,5604861.0,849.0,-70.8
2,P.S. 41 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,1221137,113881.0,113485.0,849.0,-90.71
2,P.S. 42 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Construction,In-Progress,13927885,13316419.0,10517795.0,759.0,-24.48
2,P.S. 42 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,"CM,F&E",In-Progress,955827,369685.0,337723.0,759.0,-64.67
2,P.S. 42 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,251458,227745.0,853.0,299.0,-99.66
2,P.S. 42 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,74914,55031.0,31619.0,299.0,-57.79
2,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,3119625,3000612.0,2339451.0,539.0,-25.01
2,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,194110,314895.0,193770.0,539.0,-0.18
2,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,Construction,In-Progress,27824626,24876373.0,4835599.0,909.0,-82.62
2,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,"CM,F&E",In-Progress,1731310,230056.0,229809.0,909.0,-86.73
2,P.S. 151 - MANHATTAN,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Design,In-Progress,254254,254254.0,5943.0,156.0,-97.66
2,P.S. 151 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,120678,116860.0,102313.0,299.0,-15.22
2,P.S. 151 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,118762,153437.0,149011.0,299.0,25.47
2,P.S. 89 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,75672,59055.0,9635.0,364.0,-87.27
2,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY 21 RESO A (MA) FITNESS ROOM / PATH OF TRAVEL RESO A FITNESS ROOM,Construction,In-Progress,1327691,1269565.0,63185.0,329.0,-95.24
2,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY 21 RESO A (MA) FITNESS ROOM / PATH OF TRAVEL RESO A FITNESS ROOM,"CM,F&E",In-Progress,90524,131835.0,39472.0,329.0,-56.4
2,P.S. 111 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,259840,237982.0,975.0,364.0,-99.62
2,P.S. 111 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,52424,33093.0,8901.0,364.0,-83.02
2,I.S. 114 - MANHATTAN,SCA CIP RESOA,RESO A- DANCE STUDIO,"CM,F&E",In-Progress,45750,51899.0,7277.0,269.0,-84.09
2,P.S. 116 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS,Scope,In-Progress,151387,170760.0,34364.0,139.0,-77.3
2,P.S. 116 - MANHATTAN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,Design,In-Progress,57000,54853.0,34032.0,140.0,-40.29
2,P.S. 116 - MANHATTAN,SCA CIP RESOA,RESO A PATH OF TRAVEL PLAYGROUND UPGRADE,Design,In-Progress,7724,3744.0,3744.0,122.0,-51.53
2,P.S. 124 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Construction,In-Progress,17358751,15759814.0,12447762.0,699.0,-28.29
2,P.S. 124 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,"CM,F&E",In-Progress,1080100,249881.0,247568.0,699.0,-77.08
2,P.S. 126 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Construction,In-Progress,30327154,28152186.0,16661742.0,1094.0,-45.06
2,P.S. 126 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,"CM,F&E",In-Progress,2027404,565468.0,547075.0,1094.0,-73.02
2,P.S. 126 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,327417,294319.0,1441.0,299.0,-99.56
2,P.S. 126 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,64949,37932.0,7448.0,299.0,-88.53
2,P.S. 130 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,In-Progress,15208,15208.0,9143.0,181.0,-39.88
2,P.S. 130 - MANHATTAN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,528000,489278.0,10914.0,269.0,-97.93
2,P.S. 130 - MANHATTAN,SCA CIP RESOA,FY22 RESO A PLAYGROUND UPGRADE,"CM,F&E",In-Progress,36000,56007.0,18860.0,269.0,-47.61
2,P.S. 158 - MANHATTAN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM,Construction,In-Progress,2827207,2755476.0,2098615.0,729.0,-25.77
2,P.S. 158 - MANHATTAN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM,"CM,F&E",In-Progress,249701,297198.0,263262.0,729.0,5.43
2,M169 SPED - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / WINDOWS / ROOFS / PATH OF TRAVEL ROOF,Construction,In-Progress,6214007,5718517.0,1539771.0,547.0,-75.22
2,M169 SPED - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / WINDOWS / ROOFS / PATH OF TRAVEL ROOF,"CM,F&E",In-Progress,481042,321734.0,311527.0,547.0,-35.24
2,P.S. 183 - MANHATTAN,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,528000,365454.0,352053.0,269.0,-33.32
2,P.S. 183 - MANHATTAN,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,"CM,F&E",In-Progress,36000,70206.0,69536.0,269.0,93.16
2,P.S. 183 - MANHATTAN,SCA CIP RESOA,NYS IPDVS NEW INSTALLATION,Construction,In-Progress,440000,199047.0,4124.0,329.0,-99.06
2,P.S. 183 - MANHATTAN,SCA CIP RESOA,NYS IPDVS NEW INSTALLATION,"CM,F&E",In-Progress,63657,147971.0,115170.0,329.0,80.92
2,P.S. 290 - MANHATTAN,SCA CIP RESOA,RESO A ROOFTOP PLAYGROUND,Construction,In-Progress,9440749,8854882.0,144772.0,729.0,-98.47
2,P.S. 290 - MANHATTAN,SCA CIP RESOA,RESO A ROOFTOP PLAYGROUND,"CM,F&E",In-Progress,643687,86230.0,32893.0,729.0,-94.89
2,P.S. 234 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Construction,In-Progress,3234403,3144565.0,2276635.0,629.0,-29.61
2,P.S. 234 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,"CM,F&E",In-Progress,201252,396495.0,380792.0,629.0,89.21
2,P.S. 234 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,In-Progress,17792,17792.0,3646.0,181.0,-79.51
2,P.S. 234 - MANHATTAN,SCA CIP,FIRE ALARM SYSTEM REPLACEMENT,Design,In-Progress,142975,142975.0,3024.0,190.0,-97.88
2,P.S. 267 - MANHATTAN,SCA CIP,IPDVS FULL CAMERA UPGRADE,Construction,In-Progress,193762,178974.0,165938.0,329.0,-14.36
2,P.S. 267 - MANHATTAN,SCA CIP,IPDVS FULL CAMERA UPGRADE,"CM,F&E",In-Progress,166229,159600.0,115450.0,329.0,-30.55
2,P.S./I.S. 217 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,239549,209434.0,160.0,329.0,-99.93
2,P.S./I.S. 217 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,44399,112838.0,112838.0,329.0,154.15
2,M.S. 297,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,In-Progress,6000,5013.0,5013.0,138.0,-16.45
2,P.S. 51 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,"CM,F&E",In-Progress,15052,37912.0,36040.0,269.0,139.44
2,JAMES BALDWIN SCHOOL - MANHATTAN,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,Construction,In-Progress,10918714,12766835.0,11383990.0,729.0,4.26
2,JAMES BALDWIN SCHOOL - MANHATTAN,SCA CIP,EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS,"CM,F&E",In-Progress,704739,1122809.0,1088010.0,729.0,54.38
2,HUDSON HS OF LEARNING TECH - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,198231,190677.0,166368.0,299.0,-16.07
2,HUDSON HS OF LEARNING TECH - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,206690,225653.0,220817.0,299.0,6.83
