Distrito Geografico,ID Edificio,Nombre Escuela,Tipo de Proyecto,Descripción del Proyecto,Fase del Proyecto,Estado del Proyecto,Fecha de Inicio,Fecha de Fin Proyectada,Fecha de Fin Real,Presupuesto del Proyecto,Presupuesto Final Estimado,Cantidad Real Gastada
31,R058,P.S. 58 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,Construction,Complete,5/8/2023,4/1/2024,4/1/2024,442023,393340.0,373762.0
31,R058,P.S. 58 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE,"CM,F&E",Complete,5/8/2023,4/1/2024,4/1/2024,30138,40554.0,39766.0
31,R059,THE HARBOR VIEW SCHOOL - R,SCA CIP RESOA,FY22 RESO A (MA) PLAYGROUND UPGRADE,Design,Complete,1/11/2023,5/26/2023,5/11/2023,20200,36123.0,34784.0
31,R059,THE HARBOR VIEW SCHOOL - R,SCA CIP RESOA,FY23 RESO A IPDVS UPGRADE,Design,Complete,11/30/2023,5/28/2024,1/31/2024,27000,14873.0,14873.0
31,R060,P.S. 60 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION / EXTERIOR MASONRY,Scope,Complete,3/5/2024,7/19/2024,8/13/2024,8536,36325.0,21475.0
31,R060,P.S. 60 - STATEN ISLAND,SCA CIP RESOA,FY21 RESO A PLAYGROUND UPGRADE / PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,Complete,1/20/2022,4/22/2022,3/28/2022,37248,43452.0,43452.0
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Scope,Complete,6/29/2023,10/30/2023,10/3/2023,11748,15871.0,15871.0
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Design,Complete,10/11/2023,3/12/2024,2/13/2024,52864,57168.0,43751.0
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,PAVED AREA- BLACKTOP,Scope,Complete,3/26/2024,6/25/2024,8/12/2024,11567,49345.0,35926.0
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/29/2021,11/30/2021,8/18/2021,4477,6223.0,6223.0
31,R061,I.S. 61 - STATEN ISLAND,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,8/18/2021,2/16/2022,12/29/2021,20148,24890.0,24890.0
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION,Scope,Complete,2/16/2023,7/5/2023,11/15/2023,31000,161758.0,161758.0
31,R069,P.S. 69 - STATEN ISLAND,SCA CIP,FLOOD ELIMINATION,Design,Complete,12/5/2023,5/7/2024,4/17/2024,155000,252033.0,218756.0
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,10/9/2018,3/14/2019,12/21/2018,119640,118837.0,118837.0
31,R072,I.S. 72 - STATEN ISLAND,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,1/9/2019,6/11/2019,5/7/2019,478560,524610.0,491200.0
